Audiomoth	Date	Sunset	TAfterSun	Temp	Wind	Rain	Moon	TimeSocial	Social_ID	Num_Parts	Social_Freq	Social_Len	Echo_ID	Pre_Avg_Freq	Pre_Call_Rate	Post_Avg_Freq	Post_Call_Rate
16	26/08/2024	20:16	00:54	16.5	6.1	0	49	21:10	Pippip	3	16.3	0.0205	Pippip	50.4	8	50.4	11
16	26/08/2024	20:16	00:54	16.5	6.1	0	49	21:10	Pippip	3	16.3	0.0205	Pippyg	58.4	7	57.8	8
16	26/08/2024	20:16	00:54	16.5	6.1	0	49	21:10	Pippip	3	17.1	0.203	Pippip	50.3	7	50.8	8
16	26/08/2024	20:16	00:54	16.5	6.1	0	49	21:10	Pippip	3	17.1	0.203	Pipnat	38.2	9	38.4	10
16	26/08/2024	20:16	00:54	16.5	6.1	0	49	21:10	Pippip	3	15.9	0.0211	Pipnat	38.3	9	38.4	11
16	26/08/2024	20:16	00:55	16.5	6.1	0	49	21:11	Pippyg	3	17.4	0.0199	Pippyg	53.1	10	54.2	10
16	26/08/2024	20:16	00:55	16.5	6.1	0	49	21:11	Pippyg	3	17.7	0.201	Pippyg	54.1	9	55.8	10
16	26/08/2024	20:16	01:10	16.5	6.1	0	49	21:26	Pippyg	3	16.9	0.0107	Pipnat	39.3	10	39	11
16	26/08/2024	20:16	01:10	16.5	6.1	0	49	21:26	Pippyg	3	16.9	0.0107	Pippip	44.8	11	45.3	12
16	26/08/2024	20:16	01:10	16.5	6.1	0	49	21:26	Pippyg	3	16.9	0.0107	Pippyg	55.1	12	56.8	12
16	26/08/2024	20:16	01:10	16.5	6.1	0	49	21:26	Pippip	3	17	0.018	Pippip	44.4	9	46.8	11
16	26/08/2024	20:16	01:10	16.5	6.1	0	49	21:26	Pippip	3	17	0.018	Pippip	51.9	9	54.1	17
16	26/08/2024	20:16	01:10	16.5	6.1	0	49	21:26	Pippip	3	17	0.018	Pipnat	38.9	10	38.3	14
16	26/08/2024	20:16	01:10	16.5	6.1	0	49	21:26	Pippip	4	17.6	0.0232	Pippip	46.1	15	46.9	11
